user_id	place_id	rating
18904	130	5
2194	130	5
11711	130	4
47487	880	5
6746	880	5
6227	1710	5
11711	1830	4
6746	2100	5
2956	4040	4
11711	4040	4
45370	4040	5
18904	4041	5
42289	22880310	3
54509	23360130	5
268	23361040	4
55096	23700010	5
5700	23700010	5
5512	23700010	4
3379	23700010	4
55380	23700010	4
55070	23700010	5
8372	23700010	5
5343	23700010	5
55005	23700010	5
2956	23700010	4
31512	23700010	5
55557	23700010	5
55179	23700010	4
55624	23700010	5
542	23700010	4
54918	23700010	5
55167	23700010	5
55268	23700010	5
48387	23700010	5
55372	23700010	4
6746	23700010	1
55437	23700010	5
55373	24470020	5
2956	24470020	5
10294	24880070	3
6746	24880070	4
13849	24880080	4
6746	24880080	5
2956	24880080	5
11711	24880080	5
1858	24880230	5
6746	24880240	5
5700	24880240	5
6746	28350010	4
33869	28350020	4
32323	30810040	4
6227	30810080	4
2194	30810080	5
13849	32890010	5
6227	33480010	4
6746	33480010	5
5700	33480010	5
3686	34640010	4
3686	34640020	3
47487	34950010	4
1978	34950010	5
5700	34950010	4
6227	A1300030	5
18904	A1300040	4
6227	A1300051	3
1379	A1400030	4
3379	A1400030	3
13301	A1400030	3
6227	A1400071	4
6746	A1400071	5
5700	A1400071	5
15529	A1400130	4
42289	A1400130	4
51811	A1400191	4
6227	A1400200	5
22123	A1400200	5
2194	A1400200	4
6227	A1400210	4
5700	A1400210	4
6406	A1400210	3
6227	A1400220	5
6227	A1400230	4
6227	A1400240	5
6227	A1400250	5
6227	A1400260	4
6227	A1400270	4
55447	A1400280	5
2543	A1400320	5
22977	A1400320	5
5837	A1400320	5
5343	A1400320	5
3379	A1400320	5
5804	A1400320	5
22147	A1400320	5
37287	A1400320	5
18771	A1400320	5
2194	A1400320	5
2194	A1400330	5
2194	A1400330	5
48169	A1400340	5
47954	A1400340	5
3379	A1400340	4
2194	A1400340	4
6227	A1400340	5
6746	A1400340	5
14490	A1400340	5
36647	A1400340	5
47487	A1400360	5
23	A1400380	3
52919	A1400380	3
5700	A1400400	5
2194	A1400400	4
22123	A1400401	5
2194	A1400401	5
26	A1400420	5
25	A1400460	3
6746	A1400480	5
2194	A1400480	4
4773	A1400550	4
26	A1400790	4
5678	A1400860	4
6746	A1400900	4
6746	A1400900	4
32345	A1400910	5
6746	A1400910	5
22123	A1400910	5
5700	A1401001	5
5700	A1401001	5
10294	A1401010	5
32345	A1401010	4
1858	A1401010	5
5700	A1401010	4
6746	A1401010	4
2194	A1401020	5
2194	A1401020	5
6746	A1401050	5
2194	A1401050	4
8372	A1401050	5
2956	A1401060	4
6746	A1401060	5
22123	A1401060	4
11711	A1401060	5
32345	A1401060	4
8372	A1401060	4
6288	A1401060	5
23	A1401060	4
2194	A1401060	5
15529	A1401060	3
5700	A1401100	5
3686	A1401110	4
23	A1401110	4
18904	A1401110	5
6746	A1401131	4
1858	A1401170	4
47487	A1401180	5
18904	A1401190	4
13849	A1401190	5
1858	A1401190	4
1858	A1401240	4
1858	A1401250	4
1858	A1401260	4
5700	A1401300	4
11711	A1401300	4
5700	A1401311	3
5700	A1401311	3
13849	A1401312	4
6746	A1401312	5
2194	A1401312	4
18904	A1401313	4
13849	A1401313	4
5678	A1401313	3
10294	A1401313	5
18904	A1401313	4
13849	A1401313	4
5678	A1401313	3
10294	A1401313	5
18904	A1401319	5
5678	A1401319	5
18904	A1401319	5
5678	A1401319	5
6746	A1401510	3
1379	A1401510	1
25	A1401550	4
25	A1401560	4
6227	A1401594	4
33869	A1401840	4
33869	A1401940	5
2194	A1401940	5
18904	A1402010	4
23	A1402310	4
47487	A1402310	5
2194	A1402310	4
23	A1402350	4
53782	A1402350	5
3379	A1402350	4
33869	A1402380	2
3474	A1402710	5
3379	A1402710	4
55308	A1402710	5
6227	A1402710	4
5512	A1402961	5
23239	A1402961	5
6746	A1402961	5
33869	A1402961	4
2194	A1402961	4
11711	A1402961	4
23	A1403100	3
2194	A1403100	5
6746	A1403100	5
18904	A1403110	4
6227	A1403110	2
2194	A1403110	4
2194	A1403130	4
6746	A1403140	5
6746	A1403340	5
2194	A1403400	4
23239	A1403400	5
6746	A1403411	5
47487	A1403411	5
3686	A1403411	5
3686	A1403590	4
21226	A1403590	4
20661	A1403620	5
15529	A1403770	4
6746	A1403770	5
15529	A1403780	3
47487	A1403780	5
6746	A1403780	4
38982	A1403801	4
44335	A1403810	3
30348	A1403810	5
2194	A1403810	5
48379	A1403810	5
55373	A1403810	5
18771	A1403810	5
32323	A1403810	4
55629	A1403810	5
3379	A1403812	5
6227	A1403831	4
6746	A1403831	4
22753	A1403831	5
5700	A1403831	4
6227	A1403832	4
6746	A1403832	5
5700	A1403832	4
5837	A1403834	5
55157	A1403834	5
5700	A1403834	5
3379	A1403834	5
32323	A1403834	5
55369	A1403834	4
55536	A1403834	5
48132	A1403834	5
14490	A1403834	5
55373	A1403834	5
55167	A1403834	4
2194	A1403834	5
55629	A1403834	4
25	A1403840	3
1379	A1403840	5
2194	A1403840	5
30298	A1403840	4
36482	A1403840	5
49661	A1403840	5
6227	A1403840	3
20619	A1403840	5
55332	A1403840	3
5700	A1403850	4
25	A1403850	3
23	A1403860	4
2194	A1403860	4
5700	A1403880	4
15529	A1403880	5
14490	A1403880	4
23	A1403880	4
1379	A1403890	5
6406	A1403920	3
21226	A1403950	4
3686	A1403950	4
23	A1403950	5
2194	A1403950	4
6406	A1403950	4
6155	A1403950	5
32345	A1403950	4
25	A1403950	4
2194	A1403960	3
33869	A1403970	3
2194	A1403970	3
25	A1403980	3
32323	A1403991	4
2956	A1404010	4
14050	A1404010	4
5700	A1404173	3
6227	A1404173	4
6155	A1404173	5
14490	A1404173	4
6746	A1404173	4
